u,v
KANPURCENTRA,GOVINDPURI22
GOVINDPURI22,PANKIDHAM53K
PANKIDHAM53K,BHAUPUR95KMH
BHAUPUR95KMH,MAITHA72KMHR
MAITHA72KMHR,ROSHANMAU
ROSHANMAU,PATRA
PATRA,RURA1KMHR
RURA1KMHR,AMBIAPUR175K
AMBIAPUR175K,JHINJHAK138K
JHINJHAK138K,PARAJANIHALT
PARAJANIHALT,KANCHAUSI3KM
KANCHAUSI3KM,PHAPHUND95KM
PHAPHUND95KM,PATA85KMHR
PATA85KMHR,ACHALDA95KMH
ACHALDA95KMH,GHASARAHALT
GHASARAHALT,SAMHON
SAMHON,BHARTHANA120
BHARTHANA120,EKDIL106KMHR
EKDIL106KMHR,ETAWAH72KMHR
ETAWAH72KMHR,ADSBYGOOGLEW
NSCBOSEJGOMO,TELO51KMHR
TELO51KMHR,CHANDRAPURA4
CHANDRAPURA4,BHANDARIDAH2
BHANDARIDAH2,PHUSRO51KMHR
PHUSRO51KMHR,AMLO35KMHR
AMLO35KMHR,BERMO70KMHR
BERMO70KMHR,JARANGDIH
JARANGDIH,BOKAROTHERMA
BOKAROTHERMA,GUMIA70KMHR
GUMIA70KMHR,DUMRIBIHARE7
DUMRIBIHARE7,DANEA74KMHR
DANEA74KMHR,JOGESHWARBIH
JOGESHWARBIH,CHAINPUR52KM
CHAINPUR52KM,KARMAHAT66KM
KARMAHAT66KM,DIGWARHALT
DIGWARHALT,RANCHIROAD1K
RANCHIROAD1K,ARIGADA45KMH
ARIGADA45KMH,BARKAKANA35K
BARKAKANA35K,BHURKUNDA70K
BHURKUNDA70K,PATRATU84KMH
PATRATU84KMH,TOKISUD59KMH
TOKISUD59KMH,HENDEGIR59KM
HENDEGIR59KM,KOLE55KMHR
KOLE55KMHR,RAY83KMHR
RAY83KMHR,ADSBYGOOGLEW
ADSBYGOOGLEW,KHALARI
KHALARI,MCCLUSKIEGAN
MCCLUSKIEGAN,NINDRA
NINDRA,MAHUAMILAN
MAHUAMILAN,TORI
TORI,CHETAR
CHETAR,RICHUGHUTU
RICHUGHUTU,DEMU
DEMU,LATEHAR
LATEHAR,BENDI
BENDI,KUMENDI
KUMENDI,HEHEGARAHALT
HEHEGARAHALT,CHHIPADOHAR
CHHIPADOHAR,BARWADIH
BARWADIH,MANGRA
MANGRA,KECKHI
KECKHI,CHIANKI
CHIANKI,DALTONGANJ
DALTONGANJ,KAJRI
KAJRI,RAJHURA
RAJHURA,LALGARHBIHAR
