train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual,arr_delay,dep_delay
53343_2025-11-04,KHALARI,2025-11-04 10:17,2025-11-04 10:17,2025-11-04 10:19,2025-11-04 10:19,0.0,0.0
55086_2025-11-04,SEHRAMAU,2025-11-04 12:58,2025-11-04 12:58,2025-11-04 13:00,2025-11-04 13:00,0.0,0.0
14894_2025-11-04,BASNI,2025-11-04 12:13,2025-11-04 12:13,2025-11-04 12:15,2025-11-04 12:15,0.0,0.0
15231_2025-11-04,SALKAROAD,2025-11-04 12:43,2025-11-04 12:43,2025-11-04 12:43,2025-11-04 12:43,0.0,0.0
15231_2025-11-04,USLAPUR,2025-11-04 12:25,2025-11-04 12:25,2025-11-04 12:35,2025-11-04 12:35,0.0,0.0
64603_2025-11-04,KANPURCENTRA,,,2025-11-04 06:50,2025-11-04 07:15,0.0,25.0
64603_2025-11-04,GOVINDPURI22,2025-11-04 06:58,2025-11-04 07:30,2025-11-04 06:59,2025-11-04 07:31,32.0,32.0
64603_2025-11-04,PANKIDHAM53K,2025-11-04 07:08,2025-11-04 07:43,2025-11-04 07:09,2025-11-04 07:44,35.0,35.0
64603_2025-11-04,BHAUPUR95KMH,2025-11-04 07:18,2025-11-04 07:56,2025-11-04 07:19,2025-11-04 07:58,38.0,39.0
64603_2025-11-04,MAITHA72KMHR,2025-11-04 07:27,2025-11-04 08:11,2025-11-04 07:28,2025-11-04 08:23,44.0,55.0
64603_2025-11-04,ROSHANMAU,2025-11-04 07:33,2025-11-04 07:33,2025-11-04 07:34,2025-11-04 07:34,0.0,0.0
64603_2025-11-04,PATRA,2025-11-04 07:38,2025-11-04 07:38,2025-11-04 07:39,2025-11-04 07:39,0.0,0.0
64603_2025-11-04,RURA1KMHR,2025-11-04 07:43,2025-11-04 08:41,2025-11-04 07:44,2025-11-04 08:54,58.0,70.0
64603_2025-11-04,AMBIAPUR175K,2025-11-04 07:51,2025-11-04 08:59,2025-11-04 07:52,2025-11-04 09:00,68.0,68.0
64603_2025-11-04,JHINJHAK138K,2025-11-04 08:01,2025-11-04 09:07,2025-11-04 08:02,2025-11-04 09:08,66.0,66.0
64603_2025-11-04,PARAJANIHALT,2025-11-04 08:14,2025-11-04 08:14,2025-11-04 08:15,2025-11-04 08:15,0.0,0.0
64603_2025-11-04,KANCHAUSI3KM,2025-11-04 08:21,2025-11-04 09:21,2025-11-04 08:22,2025-11-04 09:22,60.0,60.0
64603_2025-11-04,PHAPHUND95KM,2025-11-04 08:33,2025-11-04 09:31,2025-11-04 08:34,2025-11-04 09:32,58.0,58.0
64603_2025-11-04,PATA85KMHR,2025-11-04 08:41,2025-11-04 09:42,2025-11-04 08:42,2025-11-04 09:52,61.0,70.0
64603_2025-11-04,ACHALDA95KMH,2025-11-04 08:49,2025-11-04 10:00,2025-11-04 08:50,2025-11-04 10:01,71.0,71.0
64603_2025-11-04,GHASARAHALT,2025-11-04 08:56,2025-11-04 08:56,2025-11-04 08:57,2025-11-04 08:57,0.0,0.0
64603_2025-11-04,SAMHON,2025-11-04 09:03,2025-11-04 10:13,2025-11-04 09:04,2025-11-04 10:14,70.0,70.0
64603_2025-11-04,BHARTHANA120,2025-11-04 09:24,2025-11-04 10:22,2025-11-04 09:25,2025-11-04 10:23,58.0,58.0
64603_2025-11-04,EKDIL106KMHR,2025-11-04 09:37,2025-11-04 10:32,2025-11-04 09:38,2025-11-04 10:33,55.0,55.0
64603_2025-11-04,ETAWAH72KMHR,2025-11-04 10:00,2025-11-04 10:46,,,46.0,46.0
64603_2025-11-04,ADSBYGOOGLEW,,,,,,
53343_2025-11-04,NSCBOSEJGOMO,,,2025-11-04 05:30,2025-11-04 05:31,0.0,1.0
53343_2025-11-04,TELO51KMHR,2025-11-04 05:39,2025-11-04 05:47,2025-11-04 05:41,2025-11-04 05:49,8.0,8.0
53343_2025-11-04,CHANDRAPURA4,2025-11-04 05:49,2025-11-04 06:05,2025-11-04 05:51,2025-11-04 06:11,16.0,20.0
53343_2025-11-04,BHANDARIDAH2,2025-11-04 06:00,2025-11-04 07:50,2025-11-04 06:02,2025-11-04 07:51,110.0,109.0
53343_2025-11-04,PHUSRO51KMHR,2025-11-04 06:08,2025-11-04 08:00,2025-11-04 06:10,2025-11-04 08:02,112.0,112.0
53343_2025-11-04,AMLO35KMHR,2025-11-04 06:15,2025-11-04 08:07,2025-11-04 06:17,2025-11-04 08:09,112.0,112.0
53343_2025-11-04,BERMO70KMHR,2025-11-04 06:23,2025-11-04 08:13,2025-11-04 06:25,2025-11-04 08:15,110.0,110.0
53343_2025-11-04,JARANGDIH,2025-11-04 06:30,2025-11-04 06:30,2025-11-04 06:32,2025-11-04 06:32,0.0,0.0
53343_2025-11-04,BOKAROTHERMA,2025-11-04 06:39,2025-11-04 08:34,2025-11-04 06:41,2025-11-04 08:36,115.0,115.0
53343_2025-11-04,GUMIA70KMHR,2025-11-04 06:48,2025-11-04 08:44,2025-11-04 06:50,2025-11-04 08:47,116.0,117.0
53343_2025-11-04,DUMRIBIHARE7,2025-11-04 06:58,2025-11-04 08:55,2025-11-04 07:00,2025-11-04 08:57,117.0,117.0
53343_2025-11-04,DANEA74KMHR,2025-11-04 07:12,2025-11-04 09:11,2025-11-04 07:14,2025-11-04 09:13,119.0,119.0
53343_2025-11-04,JOGESHWARBIH,2025-11-04 07:26,2025-11-04 09:23,2025-11-04 07:28,2025-11-04 09:24,117.0,116.0
53343_2025-11-04,CHAINPUR52KM,2025-11-04 07:35,2025-11-04 09:31,2025-11-04 07:37,2025-11-04 09:35,116.0,118.0
53343_2025-11-04,KARMAHAT66KM,2025-11-04 07:44,2025-11-04 09:42,2025-11-04 07:46,2025-11-04 09:44,118.0,118.0
53343_2025-11-04,DIGWARHALT,2025-11-04 07:53,2025-11-04 07:53,2025-11-04 07:54,2025-11-04 07:54,0.0,0.0
53343_2025-11-04,RANCHIROAD1K,2025-11-04 08:01,2025-11-04 09:55,2025-11-04 08:03,2025-11-04 09:58,114.0,115.0
53343_2025-11-04,ARIGADA45KMH,2025-11-04 08:10,2025-11-04 10:08,2025-11-04 08:12,2025-11-04 10:09,118.0,117.0
53343_2025-11-04,BARKAKANA35K,2025-11-04 08:45,2025-11-04 10:19,2025-11-04 09:05,2025-11-04 10:49,94.0,104.0
53343_2025-11-04,BHURKUNDA70K,2025-11-04 09:20,2025-11-04 11:05,2025-11-04 09:22,2025-11-04 11:14,105.0,112.0
53343_2025-11-04,PATRATU84KMH,2025-11-04 09:30,2025-11-04 11:23,2025-11-04 09:32,2025-11-04 11:27,113.0,115.0
53343_2025-11-04,TOKISUD59KMH,2025-11-04 09:39,2025-11-04 11:38,2025-11-04 09:41,2025-11-04 11:41,119.0,120.0
53343_2025-11-04,HENDEGIR59KM,2025-11-04 09:49,2025-11-04 11:55,2025-11-04 09:51,2025-11-04 11:56,126.0,125.0
53343_2025-11-04,KOLE55KMHR,2025-11-04 09:59,2025-11-04 12:06,2025-11-04 10:00,2025-11-04 12:27,127.0,147.0
53343_2025-11-04,RAY83KMHR,2025-11-04 10:07,2025-11-04 12:35,2025-11-04 10:09,2025-11-04 13:11,148.0,182.0
53343_2025-11-04,KHALARI73KMH,2025-11-04 10:17,2025-11-04 13:20,2025-11-04 10:19,2025-11-04 10:19,183.0,0.0
53343_2025-11-04,ADSBYGOOGLEW,,,,,,
53343_2025-11-04,MCCLUSKIEGAN,2025-11-04 10:27,2025-11-04 10:27,2025-11-04 10:29,2025-11-04 10:29,0.0,0.0
53343_2025-11-04,NINDRA,2025-11-04 10:37,2025-11-04 10:37,2025-11-04 10:38,2025-11-04 10:38,0.0,0.0
53343_2025-11-04,MAHUAMILAN,2025-11-04 10:46,2025-11-04 10:46,2025-11-04 10:48,2025-11-04 10:48,0.0,0.0
53343_2025-11-04,TORI,2025-11-04 10:56,2025-11-04 10:56,2025-11-04 10:58,2025-11-04 10:58,0.0,0.0
53343_2025-11-04,CHETAR,2025-11-04 11:08,2025-11-04 11:08,2025-11-04 11:10,2025-11-04 11:10,0.0,0.0
53343_2025-11-04,RICHUGHUTU,2025-11-04 11:19,2025-11-04 11:19,2025-11-04 11:21,2025-11-04 11:21,0.0,0.0
53343_2025-11-04,DEMU,2025-11-04 11:29,2025-11-04 11:29,2025-11-04 11:31,2025-11-04 11:31,0.0,0.0
53343_2025-11-04,LATEHAR,2025-11-04 11:38,2025-11-04 11:38,2025-11-04 11:40,2025-11-04 11:40,0.0,0.0
53343_2025-11-04,BENDI,2025-11-04 11:48,2025-11-04 11:48,2025-11-04 11:50,2025-11-04 11:50,0.0,0.0
