train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual,arr_delay,dep_delay
53343_2025-11-04,KHALARI,2025-11-04 10:17,2025-11-04 10:17,2025-11-04 10:19,2025-11-04 10:30,0.0,11.0
55086_2025-11-04,SEHRAMAU,2025-11-04 12:58,2025-11-04 12:58,2025-11-04 13:00,2025-11-04 13:00,0.0,0.0
14894_2025-11-04,BASNI,2025-11-04 12:13,2025-11-04 12:13,2025-11-04 12:15,2025-11-04 12:37,0.0,22.0
15231_2025-11-04,SALKAROAD,2025-11-04 12:43,2025-11-04 12:56,2025-11-04 12:43,2025-11-04 12:51,13.0,8.0
15231_2025-11-04,USLAPUR,2025-11-04 12:25,2025-11-04 12:32,2025-11-04 12:35,2025-11-04 12:35,7.0,0.0
64603_2025-11-04,KANPURCENTRA,,,2025-11-04 06:50,2025-11-04 06:57,0.0,7.0
64603_2025-11-04,GOVINDPURI22,2025-11-04 06:58,2025-11-04 06:58,2025-11-04 06:59,2025-11-04 06:59,0.0,0.0
64603_2025-11-04,PANKIDHAM53K,2025-11-04 07:08,2025-11-04 07:43,2025-11-04 07:09,2025-11-04 07:09,35.0,0.0
64603_2025-11-04,BHAUPUR95KMH,2025-11-04 07:18,2025-11-04 07:18,2025-11-04 07:19,2025-11-04 07:19,0.0,0.0
64603_2025-11-04,MAITHA72KMHR,2025-11-04 07:27,2025-11-04 07:27,2025-11-04 07:28,2025-11-04 07:28,0.0,0.0
64603_2025-11-04,ROSHANMAU,2025-11-04 07:33,2025-11-04 07:33,2025-11-04 07:34,2025-11-04 07:34,0.0,0.0
64603_2025-11-04,PATRA,2025-11-04 07:38,2025-11-04 07:38,2025-11-04 07:39,2025-11-04 07:39,0.0,0.0
64603_2025-11-04,RURA1KMHR,2025-11-04 07:43,2025-11-04 07:43,2025-11-04 07:44,2025-11-04 07:44,0.0,0.0
64603_2025-11-04,AMBIAPUR175K,2025-11-04 07:51,2025-11-04 07:51,2025-11-04 07:52,2025-11-04 07:52,0.0,0.0
64603_2025-11-04,JHINJHAK138K,2025-11-04 08:01,2025-11-04 08:01,2025-11-04 08:02,2025-11-04 08:02,0.0,0.0
64603_2025-11-04,PARAJANIHALT,2025-11-04 08:14,2025-11-04 08:25,2025-11-04 08:15,2025-11-04 08:15,11.0,0.0
64603_2025-11-04,KANCHAUSI3KM,2025-11-04 08:21,2025-11-04 08:21,2025-11-04 08:22,2025-11-04 08:22,0.0,0.0
64603_2025-11-04,PHAPHUND95KM,2025-11-04 08:33,2025-11-04 08:33,2025-11-04 08:34,2025-11-04 08:34,0.0,0.0
64603_2025-11-04,PATA85KMHR,2025-11-04 08:41,2025-11-04 08:52,2025-11-04 08:42,2025-11-04 08:42,11.0,0.0
64603_2025-11-04,ACHALDA95KMH,2025-11-04 08:49,2025-11-04 09:00,2025-11-04 08:50,2025-11-04 08:50,11.0,0.0
64603_2025-11-04,GHASARAHALT,2025-11-04 08:56,2025-11-04 08:56,2025-11-04 08:57,2025-11-04 08:57,0.0,0.0
64603_2025-11-04,SAMHON,2025-11-04 09:03,2025-11-04 09:03,2025-11-04 09:04,2025-11-04 09:12,0.0,8.0
64603_2025-11-04,BHARTHANA120,2025-11-04 09:24,2025-11-04 09:24,2025-11-04 09:25,2025-11-04 09:25,0.0,0.0
64603_2025-11-04,EKDIL106KMHR,2025-11-04 09:37,2025-11-04 09:37,2025-11-04 09:38,2025-11-04 09:47,0.0,9.0
64603_2025-11-04,ETAWAH72KMHR,2025-11-04 10:00,2025-11-04 10:11,,,11.0,46.0
64603_2025-11-04,ADSBYGOOGLEW,,,,,,
53343_2025-11-04,NSCBOSEJGOMO,,,2025-11-04 05:30,2025-11-04 05:30,0.0,0.0
53343_2025-11-04,TELO51KMHR,2025-11-04 05:39,2025-11-04 05:39,2025-11-04 05:41,2025-11-04 05:41,0.0,0.0
53343_2025-11-04,CHANDRAPURA4,2025-11-04 05:49,2025-11-04 05:49,2025-11-04 05:51,2025-11-04 05:51,0.0,0.0
53343_2025-11-04,BHANDARIDAH2,2025-11-04 06:00,2025-11-04 06:00,2025-11-04 06:02,2025-11-04 06:02,0.0,0.0
53343_2025-11-04,PHUSRO51KMHR,2025-11-04 06:08,2025-11-04 06:08,2025-11-04 06:10,2025-11-04 06:22,0.0,12.0
53343_2025-11-04,AMLO35KMHR,2025-11-04 06:15,2025-11-04 06:24,2025-11-04 06:17,2025-11-04 06:27,9.0,10.0
53343_2025-11-04,BERMO70KMHR,2025-11-04 06:23,2025-11-04 06:23,2025-11-04 06:25,2025-11-04 06:25,0.0,0.0
53343_2025-11-04,JARANGDIH,2025-11-04 06:30,2025-11-04 06:37,2025-11-04 06:32,2025-11-04 06:32,7.0,0.0
53343_2025-11-04,BOKAROTHERMA,2025-11-04 06:39,2025-11-04 06:39,2025-11-04 06:41,2025-11-04 06:41,0.0,0.0
53343_2025-11-04,GUMIA70KMHR,2025-11-04 06:48,2025-11-04 07:02,2025-11-04 06:50,2025-11-04 07:03,14.0,13.0
53343_2025-11-04,DUMRIBIHARE7,2025-11-04 06:58,2025-11-04 06:58,2025-11-04 07:00,2025-11-04 07:00,0.0,0.0
53343_2025-11-04,DANEA74KMHR,2025-11-04 07:12,2025-11-04 07:12,2025-11-04 07:14,2025-11-04 07:14,0.0,0.0
53343_2025-11-04,JOGESHWARBIH,2025-11-04 07:26,2025-11-04 07:34,2025-11-04 07:28,2025-11-04 07:41,8.0,13.0
53343_2025-11-04,CHAINPUR52KM,2025-11-04 07:35,2025-11-04 07:35,2025-11-04 07:37,2025-11-04 07:37,0.0,0.0
53343_2025-11-04,KARMAHAT66KM,2025-11-04 07:44,2025-11-04 07:44,2025-11-04 07:46,2025-11-04 07:46,0.0,0.0
53343_2025-11-04,DIGWARHALT,2025-11-04 07:53,2025-11-04 07:53,2025-11-04 07:54,2025-11-04 07:54,0.0,0.0
53343_2025-11-04,RANCHIROAD1K,2025-11-04 08:01,2025-11-04 08:01,2025-11-04 08:03,2025-11-04 08:03,0.0,0.0
53343_2025-11-04,ARIGADA45KMH,2025-11-04 08:10,2025-11-04 08:18,2025-11-04 08:12,2025-11-04 08:12,8.0,0.0
53343_2025-11-04,BARKAKANA35K,2025-11-04 08:45,2025-11-04 08:45,2025-11-04 09:05,2025-11-04 09:24,0.0,19.0
53343_2025-11-04,BHURKUNDA70K,2025-11-04 09:20,2025-11-04 09:20,2025-11-04 09:22,2025-11-04 09:22,0.0,0.0
53343_2025-11-04,PATRATU84KMH,2025-11-04 09:30,2025-11-04 09:30,2025-11-04 09:32,2025-11-04 09:44,0.0,12.0
53343_2025-11-04,TOKISUD59KMH,2025-11-04 09:39,2025-11-04 09:39,2025-11-04 09:41,2025-11-04 09:47,0.0,6.0
53343_2025-11-04,HENDEGIR59KM,2025-11-04 09:49,2025-11-04 09:49,2025-11-04 09:51,2025-11-04 09:51,0.0,0.0
53343_2025-11-04,KOLE55KMHR,2025-11-04 09:59,2025-11-04 09:59,2025-11-04 10:00,2025-11-04 10:09,0.0,9.0
53343_2025-11-04,RAY83KMHR,2025-11-04 10:07,2025-11-04 10:12,2025-11-04 10:09,2025-11-04 10:17,5.0,8.0
53343_2025-11-04,KHALARI73KMH,2025-11-04 10:17,2025-11-04 10:17,2025-11-04 10:19,2025-11-04 10:19,0.0,0.0
53343_2025-11-04,ADSBYGOOGLEW,,,,,,
53343_2025-11-04,MCCLUSKIEGAN,2025-11-04 10:27,2025-11-04 10:27,2025-11-04 10:29,2025-11-04 10:34,0.0,5.0
53343_2025-11-04,NINDRA,2025-11-04 10:37,2025-11-04 10:37,2025-11-04 10:38,2025-11-04 10:44,0.0,6.0
53343_2025-11-04,MAHUAMILAN,2025-11-04 10:46,2025-11-04 10:46,2025-11-04 10:48,2025-11-04 10:48,0.0,0.0
53343_2025-11-04,TORI,2025-11-04 10:56,2025-11-04 11:04,2025-11-04 10:58,2025-11-04 10:58,8.0,0.0
53343_2025-11-04,CHETAR,2025-11-04 11:08,2025-11-04 11:08,2025-11-04 11:10,2025-11-04 11:10,0.0,0.0
53343_2025-11-04,RICHUGHUTU,2025-11-04 11:19,2025-11-04 11:26,2025-11-04 11:21,2025-11-04 11:21,7.0,0.0
53343_2025-11-04,DEMU,2025-11-04 11:29,2025-11-04 11:29,2025-11-04 11:31,2025-11-04 11:31,0.0,0.0
53343_2025-11-04,LATEHAR,2025-11-04 11:38,2025-11-04 11:38,2025-11-04 11:40,2025-11-04 11:40,0.0,0.0
53343_2025-11-04,BENDI,2025-11-04 11:48,2025-11-04 11:58,2025-11-04 11:50,2025-11-04 11:50,10.0,0.0
53343_2025-11-04,KUMENDI,2025-11-04 11:57,2025-11-04 11:57,2025-11-04 11:59,2025-11-04 11:59,0.0,0.0
53343_2025-11-04,HEHEGARAHALT,2025-11-04 12:09,2025-11-04 12:32,2025-11-04 12:11,2025-11-04 12:20,23.0,9.0
53343_2025-11-04,CHHIPADOHAR,2025-11-04 12:21,2025-11-04 12:21,2025-11-04 12:23,2025-11-04 12:32,0.0,9.0
53343_2025-11-04,BARWADIH,2025-11-04 12:35,2025-11-04 12:35,2025-11-04 12:40,2025-11-04 12:48,0.0,8.0
53343_2025-11-04,MANGRA,2025-11-04 12:46,2025-11-04 12:56,2025-11-04 12:48,2025-11-04 12:48,10.0,0.0
53343_2025-11-04,KECKHI,2025-11-04 12:58,2025-11-04 12:58,2025-11-04 13:00,2025-11-04 13:00,0.0,0.0
53343_2025-11-04,CHIANKI,2025-11-04 13:05,2025-11-04 13:13,2025-11-04 13:07,2025-11-04 13:07,8.0,0.0
53343_2025-11-04,DALTONGANJ,2025-11-04 13:41,2025-11-04 14:17,2025-11-04 13:46,2025-11-04 13:46,36.0,0.0
53343_2025-11-04,KAJRI,2025-11-04 13:54,2025-11-04 14:07,2025-11-04 13:56,2025-11-04 13:56,13.0,0.0
53343_2025-11-04,RAJHURA,2025-11-04 14:03,2025-11-04 14:14,2025-11-04 14:05,2025-11-04 14:05,11.0,0.0
53343_2025-11-04,LALGARHBIHAR,2025-11-04 14:12,2025-11-04 14:12,2025-11-04 14:13,2025-11-04 14:13,0.0,0.0
53343_2025-11-04,TOLRA,2025-11-04 14:19,2025-11-04 14:19,2025-11-04 14:21,2025-11-04 14:27,0.0,6.0
53343_2025-11-04,GARWAROAD,2025-11-04 14:55,2025-11-04 14:55,2025-11-04 15:00,2025-11-04 15:00,0.0,0.0
53343_2025-11-04,GARHWA,2025-11-04 15:09,2025-11-04 15:09,2025-11-04 15:11,2025-11-04 15:22,0.0,11.0
53343_2025-11-04,MERALGRAM,2025-11-04 15:21,2025-11-04 15:21,2025-11-04 15:23,2025-11-04 15:23,0.0,0.0
53343_2025-11-04,RAMNA,2025-11-04 15:33,2025-11-04 15:33,2025-11-04 15:35,2025-11-04 15:44,0.0,9.0
53343_2025-11-04,NAGARUNTARI,2025-11-04 15:47,2025-11-04 15:47,2025-11-04 15:49,2025-11-04 15:49,0.0,0.0
53343_2025-11-04,WYNDHAMGANJ,2025-11-04 16:00,2025-11-04 16:00,2025-11-04 16:02,2025-11-04 16:02,0.0,0.0
53343_2025-11-04,MAHUARIYA,2025-11-04 16:12,2025-11-04 16:12,2025-11-04 16:14,2025-11-04 16:14,0.0,0.0
53343_2025-11-04,DUDDHINAGAR,2025-11-04 16:38,2025-11-04 16:38,2025-11-04 16:40,2025-11-04 16:40,0.0,0.0
53343_2025-11-04,JHAROKHAS,2025-11-04 16:51,2025-11-04 16:51,2025-11-04 16:53,2025-11-04 16:53,0.0,0.0
53343_2025-11-04,MUIRPURROAD,2025-11-04 17:02,2025-11-04 17:02,2025-11-04 17:04,2025-11-04 17:20,0.0,16.0
53343_2025-11-04,RENUKUT,2025-11-04 17:28,2025-11-04 17:28,2025-11-04 17:30,2025-11-04 17:41,0.0,11.0
53343_2025-11-04,JOGIDIH,2025-11-04 17:42,2025-11-04 17:42,2025-11-04 17:44,2025-11-04 17:44,0.0,0.0
53343_2025-11-04,GURMURA,2025-11-04 17:56,2025-11-04 17:56,2025-11-04 17:58,2025-11-04 17:58,0.0,0.0
53343_2025-11-04,SALAIBANWA,2025-11-04 18:05,2025-11-04 18:05,2025-11-04 18:07,2025-11-04 18:19,0.0,12.0
53343_2025-11-04,BILLI,2025-11-04 18:18,2025-11-04 18:18,2025-11-04 18:20,2025-11-04 18:20,0.0,0.0
53343_2025-11-04,CHOPAN,2025-11-04 20:20,2025-11-04 20:33,,,13.0,0.0
55086_2025-11-04,GOMTINAGAR,,,2025-11-04 05:40,2025-11-04 05:53,0.0,13.0
55086_2025-11-04,BADSHAHNAGAR,2025-11-04 05:50,2025-11-04 05:56,2025-11-04 05:53,2025-11-04 05:53,6.0,0.0
55086_2025-11-04,DALIGANJ51KM,2025-11-04 06:05,2025-11-04 06:14,2025-11-04 06:40,2025-11-04 07:04,9.0,24.0
55086_2025-11-04,MOHIBULLAPUR,2025-11-04 06:48,2025-11-04 06:48,2025-11-04 06:50,2025-11-04 06:50,0.0,0.0
55086_2025-11-04,BAKSHIKATALA,2025-11-04 06:59,2025-11-04 06:59,2025-11-04 07:01,2025-11-04 07:01,0.0,0.0
55086_2025-11-04,ITAUNJA,2025-11-04 07:12,2025-11-04 07:12,2025-11-04 07:13,2025-11-04 07:13,0.0,0.0
55086_2025-11-04,ATARIA26KMHR,2025-11-04 07:23,2025-11-04 07:23,2025-11-04 07:25,2025-11-04 07:36,0.0,11.0
55086_2025-11-04,MANWA,2025-11-04 07:31,2025-11-04 07:45,2025-11-04 07:32,2025-11-04 07:32,14.0,0.0
55086_2025-11-04,SIDHAULI19KM,2025-11-04 07:40,2025-11-04 07:40,2025-11-04 07:42,2025-11-04 07:42,0.0,0.0
55086_2025-11-04,SURAINCHAHAL,2025-11-04 07:50,2025-11-04 08:02,2025-11-04 07:51,2025-11-04 07:51,12.0,0.0
55086_2025-11-04,KAMLAPUR8KMH,2025-11-04 08:01,2025-11-04 08:21,2025-11-04 08:03,2025-11-04 08:03,20.0,0.0
55086_2025-11-04,BARAIJALALPU,2025-11-04 08:12,2025-11-04 08:23,2025-11-04 08:13,2025-11-04 08:13,11.0,0.0
55086_2025-11-04,KHAIRATABAD3,2025-11-04 08:26,2025-11-04 08:26,2025-11-04 08:28,2025-11-04 08:28,0.0,0.0
55086_2025-11-04,SITAPUR50KMH,2025-11-04 08:45,2025-11-04 08:54,2025-11-04 08:50,2025-11-04 08:50,9.0,0.0
55086_2025-11-04,BHURJIHABARA,2025-11-04 09:01,2025-11-04 09:01,2025-11-04 09:02,2025-11-04 09:02,0.0,0.0
55086_2025-11-04,JHAREKAPUR,2025-11-04 09:08,2025-11-04 09:21,2025-11-04 09:09,2025-11-04 09:09,13.0,0.0
55086_2025-11-04,PARSEHRAMAL,2025-11-04 09:15,2025-11-04 09:15,2025-11-04 09:16,2025-11-04 09:36,0.0,20.0
55086_2025-11-04,HARGAON45KMH,2025-11-04 09:22,2025-11-04 09:22,2025-11-04 09:24,2025-11-04 09:24,0.0,0.0
55086_2025-11-04,OEL,2025-11-04 09:34,2025-11-04 09:34,2025-11-04 09:35,2025-11-04 09:35,0.0,0.0
55086_2025-11-04,KADIPURSANIH,2025-11-04 09:41,2025-11-04 09:41,2025-11-04 09:42,2025-11-04 10:02,0.0,20.0
55086_2025-11-04,KHIRITOWN,2025-11-04 09:48,2025-11-04 09:48,2025-11-04 09:49,2025-11-04 10:01,0.0,12.0
55086_2025-11-04,LAKHIMPUR4KM,2025-11-04 09:55,2025-11-04 10:00,2025-11-04 09:57,2025-11-04 09:57,5.0,0.0
55086_2025-11-04,DEOKALI,2025-11-04 10:06,2025-11-04 10:06,2025-11-04 10:07,2025-11-04 10:35,0.0,28.0
55086_2025-11-04,PHARADAHAN6K,2025-11-04 10:16,2025-11-04 10:16,2025-11-04 10:18,2025-11-04 10:24,0.0,6.0
55086_2025-11-04,RAZAGANJ,2025-11-04 10:28,2025-11-04 10:36,2025-11-04 10:29,2025-11-04 10:29,8.0,0.0
55086_2025-11-04,BAHELIABUZUR,2025-11-04 10:34,2025-11-04 10:47,2025-11-04 10:35,2025-11-04 10:35,13.0,0.0
55086_2025-11-04,GOLAGOKARANA,2025-11-04 10:44,2025-11-04 10:44,2025-11-04 10:46,2025-11-04 11:12,0.0,26.0
55086_2025-11-04,BANKEGANJ86K,2025-11-04 11:56,2025-11-04 11:56,2025-11-04 11:58,2025-11-04 11:58,0.0,0.0
55086_2025-11-04,MAILANI89KMH,2025-11-04 12:30,2025-11-04 12:48,2025-11-04 12:40,2025-11-04 12:40,18.0,0.0
55086_2025-11-04,AKELAHANSPUR,2025-11-04 12:47,2025-11-04 13:09,2025-11-04 12:48,2025-11-04 12:48,22.0,0.0
55086_2025-11-04,SEHRAMAU31KM,2025-11-04 12:58,2025-11-04 12:58,2025-11-04 13:00,2025-11-04 13:00,0.0,0.0
55086_2025-11-04,ADSBYGOOGLEW,,,,,,
55086_2025-11-04,KURRAIYA,2025-11-04 13:08,2025-11-04 13:08,2025-11-04 13:09,2025-11-04 13:09,0.0,0.0
55086_2025-11-04,DUDHIYAKHURD,2025-11-04 13:21,2025-11-04 13:34,2025-11-04 13:23,2025-11-04 13:52,13.0,29.0
55086_2025-11-04,UDAIYAPURKHU,2025-11-04 13:29,2025-11-04 13:41,2025-11-04 13:30,2025-11-04 13:55,12.0,25.0
55086_2025-11-04,PURANPUR,2025-11-04 13:39,2025-11-04 13:39,2025-11-04 13:43,2025-11-04 13:43,0.0,0.0
55086_2025-11-04,PRASADPUR,2025-11-04 13:49,2025-11-04 14:15,2025-11-04 13:50,2025-11-04 13:50,26.0,0.0
55086_2025-11-04,SHAHGARH,2025-11-04 13:54,2025-11-04 13:54,2025-11-04 13:56,2025-11-04 14:06,0.0,10.0
55086_2025-11-04,SANDAI,2025-11-04 14:03,2025-11-04 14:03,2025-11-04 14:04,2025-11-04 14:04,0.0,0.0
55086_2025-11-04,MALA,2025-11-04 14:33,2025-11-04 14:33,2025-11-04 14:35,2025-11-04 14:35,0.0,0.0
55086_2025-11-04,DIYURI,2025-11-04 14:36,2025-11-04 15:02,2025-11-04 14:37,2025-11-04 14:37,26.0,0.0
55086_2025-11-04,PILIBHIT,2025-11-04 15:25,2025-11-04 15:25,,,0.0,0.0
04217_2025-11-04,VARANASI,,,2025-11-04 06:25,2025-11-04 06:25,0.0,0.0
04217_2025-11-04,BABATPUR65KM,2025-11-04 06:44,2025-11-04 06:44,2025-11-04 06:45,2025-11-04 06:45,0.0,0.0
04217_2025-11-04,JAUNPUR76KMH,2025-11-04 07:18,2025-11-04 07:18,2025-11-04 07:20,2025-11-04 07:31,0.0,11.0
04217_2025-11-04,SHAHGANJ105K,2025-11-04 07:48,2025-11-04 07:58,2025-11-04 07:50,2025-11-04 07:50,10.0,0.0
04217_2025-11-04,AKBARPUR117K,2025-11-04 08:22,2025-11-04 08:22,2025-11-04 08:24,2025-11-04 08:24,0.0,0.0
04217_2025-11-04,GOSHAINGANJ1,2025-11-04 08:40,2025-11-04 08:48,2025-11-04 08:41,2025-11-04 08:54,8.0,13.0
04217_2025-11-04,AYODHYADHAM7,2025-11-04 09:02,2025-11-04 09:02,2025-11-04 09:04,2025-11-04 09:04,0.0,0.0
