station_code,station_name,lat,lon,zone
HWH,Howrah,22.5958,88.2636,EAST
BWN,Bardhaman,23.2324,87.8615,EAST
DGR,Durgapur,23.5500,87.3200,EAST
ASN,Asansol,23.6833,86.9833,EAST
CRJ,Chittaranjan,23.8667,86.8833,EAST
JMT,Jamtara,23.9500,86.8000,EAST
MDP,Madhupur,24.2500,86.6500,EAST
JSME,Jasidih,24.5200,86.6500,EAST
JAJ,Jhajha,24.7700,86.3800,EAST
MKA,Mokama,25.4000,85.9200,EAST
BARH,Barh,25.4800,85.7100,EAST
BKP,Bakhtiyarpur,25.4700,85.5300,EAST
PNBE,Patna,25.6100,85.1400,EAST
DNR,Danapur,25.6300,85.0500,EAST
ARA,Ara,25.5500,84.6600,EAST
BXR,Buxar,25.5600,83.9800,EAST
DDU,Pt Deen Dayal Upadhyaya Jn,25.2700,83.1200,CENTRAL
NYN,Naini,25.3200,81.8800,CENTRAL
PRYJ,Prayagraj,25.4500,81.8400,CENTRAL
CNB,Kanpur Central,26.4500,80.3500,CENTRAL
ETW,Etawah,26.7900,79.0100,CENTRAL
TDL,Tundla,27.2100,78.2400,CENTRAL
ALJN,Aligarh,27.8800,78.0800,NORTH
NDLS,New Delhi,28.6139,77.2090,NORTH
