u,v
SAHARSA,MANSI46KMHR
MANSI46KMHR,KHAGARIA62KM
KHAGARIA62KM,BEGUSARAI32K
BEGUSARAI32K,BARAUNI39KMH
BARAUNI39KMH,DALSINGHSARA
DALSINGHSARA,SAMASTIPUR51
SAMASTIPUR51,MUZAFFARPUR9
MUZAFFARPUR9,HAJIPUR95KMH
HAJIPUR95KMH,SONPUR37KMHR
SONPUR37KMHR,CHHAPRA41KMH
CHHAPRA41KMH,SIWAN69KMHR
SIWAN69KMHR,DEORIASADAR9
DEORIASADAR9,GORAKHPUR1KM
GORAKHPUR1KM,KHALILABAD83
KHALILABAD83,BASTI98KMHR
BASTI98KMHR,GONDA65KMHR
GONDA65KMHR,BARABANKI62K
BARABANKI62K,BADSHAHNAGAR
BADSHAHNAGAR,ADSBYGOOGLEW
ADSBYGOOGLEW,AISHBAGH
AISHBAGH,KANPURCENTRA
KANPURCENTRA,ETAWAH
ETAWAH,TUNDLA
TUNDLA,ALIGARH
ALIGARH,GHAZIABAD
GHAZIABAD,ANANDVIHARTE
GHAZIPURCITY,ANKUSPUR68KM
ANKUSPUR68KM,SAHERI
SAHERI,NANDGANJ22KM
NANDGANJ22KM,BASUCHAK
BASUCHAK,TARAON12KMHR
TARAON12KMHR,SAIYEDPURBHT
SAIYEDPURBHT,AUNRIHAR51KM
AUNRIHAR51KM,RAJAWARI62KM
RAJAWARI62KM,KADIPUR83KMH
KADIPUR83KMH,SARNATH95KMH
SARNATH95KMH,VARANASICITY
VARANASICITY,VARANASI35KM
VARANASI35KM,LOHTA41KMHR
LOHTA41KMHR,CHAUKHANDI95
CHAUKHANDI95,ADSBYGOOGLEW
ADSBYGOOGLEW,SEWAPURI
SEWAPURI,KAPSETI
KAPSETI,PARSIPUR
PARSIPUR,BHADOHI
BHADOHI,MONDH
MONDH,SURIAWAN
SURIAWAN,SARAIKANSRAI
SARAIKANSRAI,JANGHAI
JANGHAI,BARYARAM
BARYARAM,UGRASENPUR
UGRASENPUR,PHULPUR
PHULPUR,SARAICHANDI
SARAICHANDI,THARWAI
THARWAI,PHAPHAMAU
PHAPHAMAU,PRAYAG
PRAYAG,PRAYAGRAJSAN
BARWADIH,MANGRA50KMHR
MANGRA50KMHR,KECKHI81KMHR
KECKHI81KMHR,CHIANKI68KMH
CHIANKI68KMH,DALTONGANJ83
DALTONGANJ83,KAJRI87KMHR
KAJRI87KMHR,RAJHURA53KMH
RAJHURA53KMH,LALGARHBIHAR
LALGARHBIHAR,TOLRA6KMHR
TOLRA6KMHR,GARWAROAD55K
GARWAROAD55K,SIGSIGI37KMH
SIGSIGI37KMH,KARKATA66KMH
KARKATA66KMH,UNTAREROAD70
UNTAREROAD70,SATBAHINI66K
SATBAHINI66K,MUHAMMADGANJ
MUHAMMADGANJ,ADSBYGOOGLEW
ADSBYGOOGLEW,KOSIARA
KOSIARA,HAIDARNAGAR
HAIDARNAGAR,JAPLA
JAPLA,KAJRATNAWADI
KAJRATNAWADI,NABINAGARROA
NABINAGARROA,BARKISALALYA
BARKISALALYA,ANKORAHAKORH
ANKORAHAKORH,BAGAHABISHUN
BAGAHABISHUN,SONNAGAR
SONNAGAR,DEHRIONSONE
BALLIA,SAGARPALI
SAGARPALI,PHEPHNA2KMHR
PHEPHNA2KMHR,CHITBARAGAON
CHITBARAGAON,TAJPURDEHMA
TAJPURDEHMA,KARIMUDDINPU
KARIMUDDINPU,DHONDHADIH
DHONDHADIH,YUSUFPUR4KMH
YUSUFPUR4KMH,SHAHBAZKULI
SHAHBAZKULI,FATEHPURATWA
FATEHPURATWA,GHAZIPURGHAT
GHAZIPURGHAT,GHAZIPURCITY
GHAZIPURCITY,ANKUSPUR95KM
ANKUSPUR95KM,SAHERI
SAHERI,NANDGANJ2KMH
NANDGANJ2KMH,ADSBYGOOGLEW
ADSBYGOOGLEW,BASUCHAK
BASUCHAK,TARAON
TARAON,SAIYEDPURBHT
SAIYEDPURBHT,AUNRIHAR
AUNRIHAR,SIDHAOUNARAM
SIDHAOUNARAM,RAJAWARI
RAJAWARI,KADIPUR
KADIPUR,SARNATH
SARNATH,VARANASICITY
VARANASICITY,VARANASI
VARANASI,BANARAS
BANARAS,BHULANPUR
BHULANPUR,HARDATTPUR
HARDATTPUR,RAJATALAB
RAJATALAB,BAHERWAHALT
BAHERWAHALT,NIGATPUR
NIGATPUR,KACHHWAROAD
KACHHWAROAD,KATKA
KATKA,MADHOSINGH
MADHOSINGH,AHIMANPUR
AHIMANPUR,ALMAW
ALMAW,GYANPURROAD
GYANPURROAD,SARAIJAGDISH
SARAIJAGDISH,JANGIGANJ
JANGIGANJ,ATRAURA
ATRAURA,BHITI
BHITI,HANDIAKHAS
HANDIAKHAS,SAIDABAD
SAIDABAD,RAMNATHPUR
RAMNATHPUR,JHUSI
JHUSI,PRAYAGRAJRAM
BHUJ,ANJAR130KMHR
ANJAR130KMHR,GANDHIDHAMBG
GANDHIDHAMBG,BHACHAUBG101
BHACHAUBG101,SAMAKHIALIBG
SAMAKHIALIBG,HALVAD152KMH
HALVAD152KMH,GHANSHYMGADH
GHANSHYMGADH,ADSBYGOOGLEW
ADSBYGOOGLEW,DHRANGADHRA
DHRANGADHRA,VIRAMGAM
VIRAMGAM,SANAND
SANAND,AMBLIROAD
AMBLIROAD,CHANDLODIYA
CHANDLODIYA,SABARMATI
SABARMATI,AHMEDABAD
BATHINDA,SIRSA120KMHR
SIRSA120KMHR,BHATTU125KMH
BHATTU125KMH,HISAR126KMHR
HISAR126KMHR,BHIWANI106KM
BHIWANI106KM,KALANAURKALA
KALANAURKALA,ROHTAK59KMHR
ROHTAK59KMHR,BAHADURGARH1
BAHADURGARH1,NANGLOI113KM
NANGLOI113KM,SHAKURBASTI5
SHAKURBASTI5,NEWDELHI33KM
NEWDELHI33KM,KANPURCENTRA
KANPURCENTRA,UNNAO33KMHR
UNNAO33KMHR,LUCKNOW80KMH
LUCKNOW80KMH,BARABANKI68K
BARABANKI68K,GONDA102KMHR
GONDA102KMHR,MANKAPUR83KM
MANKAPUR83KM,BABHNAN136KM
BABHNAN136KM,GAUR
GAUR,ADSBYGOOGLEW
ADSBYGOOGLEW,BASTI
BASTI,KHALILABAD
KHALILABAD,GORAKHPUR
MANIKPUR,BAHILPURWA70
BAHILPURWA70,KHOH105KMHR
KHOH105KMHR,CHITRAKOT78K
CHITRAKOT78K,SHIVRAMPUR85
SHIVRAMPUR85,BHARATKUP135
BHARATKUP135,BADAUSA95KMH
BADAUSA95KMH,ATARRA85KMHR
ATARRA85KMHR,KHURHAND88KM
KHURHAND88KM,DINGWAHI85KM
DINGWAHI85KM,BANDA66KMHR
BANDA66KMHR,KHAIRAR72KMH
KHAIRAR72KMH,MATAUNDH86KM
MATAUNDH86KM,KABRAI105KMH
KABRAI105KMH,BARIPURA
BARIPURA,MAHOBA12KMHR
MAHOBA12KMHR,CHARKHARIROA
CHARKHARIROA,KULPAHAR64KM
KULPAHAR64KM,BELATAL95KMH
BELATAL95KMH,GHUTAI
GHUTAI,HARPALPUR10K
HARPALPUR10K,RORA105KMHR
RORA105KMHR,ADSBYGOOGLEW
