train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual,arr_delay,dep_delay
05511_2025-11-02,SAHARSA,,,2025-11-02 08:05,,,
05511_2025-11-02,MANSI46KMHR,2025-11-02 09:43,,2025-11-02 09:45,,,
05511_2025-11-02,KHAGARIA62KM,2025-11-02 09:55,,2025-11-02 09:57,,,
05511_2025-11-02,BEGUSARAI32K,2025-11-02 10:40,,2025-11-02 10:42,,,
05511_2025-11-02,BARAUNI39KMH,2025-11-02 11:45,,2025-11-02 11:55,,,
05511_2025-11-02,DALSINGHSARA,2025-11-02 12:20,,2025-11-02 12:22,,,
05511_2025-11-02,SAMASTIPUR51,2025-11-02 13:00,,2025-11-02 13:05,,,
05511_2025-11-02,MUZAFFARPUR9,2025-11-02 14:00,,2025-11-02 14:05,,,
05511_2025-11-02,HAJIPUR95KMH,2025-11-02 15:00,,2025-11-02 15:05,,,
05511_2025-11-02,SONPUR37KMHR,2025-11-02 15:15,,2025-11-02 15:17,,,
05511_2025-11-02,CHHAPRA41KMH,2025-11-02 16:45,,2025-11-02 16:55,,,
05511_2025-11-02,SIWAN69KMHR,2025-11-02 17:50,,2025-11-02 17:55,,,
05511_2025-11-02,DEORIASADAR9,2025-11-02 18:50,,2025-11-02 18:52,,,
05511_2025-11-02,GORAKHPUR1KM,2025-11-02 20:10,,2025-11-02 20:20,,,
05511_2025-11-02,KHALILABAD83,2025-11-02 20:55,,2025-11-02 20:57,,,
05511_2025-11-02,BASTI98KMHR,2025-11-02 21:20,,2025-11-02 21:22,,,
05511_2025-11-02,GONDA65KMHR,2025-11-02 22:25,,2025-11-02 22:30,,,
05511_2025-11-02,BARABANKI62K,2025-11-02 23:50,,2025-11-02 23:52,,,
05511_2025-11-02,BADSHAHNAGAR,2025-11-02 00:38,,2025-11-02 00:40,,,
05511_2025-11-02,ADSBYGOOGLEW,,,,,,
05511_2025-11-02,AISHBAGH,,,2025-11-02 01:10,,,
05511_2025-11-02,KANPURCENTRA,2025-11-02 03:00,,2025-11-02 03:05,,,
05511_2025-11-02,ETAWAH,2025-11-02 04:45,,2025-11-02 04:47,,,
05511_2025-11-02,TUNDLA,2025-11-02 06:00,,2025-11-02 06:02,,,
05511_2025-11-02,ALIGARH,2025-11-02 07:30,,2025-11-02 07:32,,,
05511_2025-11-02,GHAZIABAD,2025-11-02 09:30,,2025-11-02 09:32,,,
05511_2025-11-02,ANANDVIHARTE,2025-11-02 10:15,,,,,
65117_2025-11-02,GHAZIPURCITY,,,2025-11-02 04:20,,,
65117_2025-11-02,ANKUSPUR68KM,2025-11-02 04:29,,2025-11-02 04:30,,,
65117_2025-11-02,SAHERI,,,,,,
65117_2025-11-02,NANDGANJ22KM,2025-11-02 04:42,,2025-11-02 04:43,,,
65117_2025-11-02,BASUCHAK,,,,,,
65117_2025-11-02,TARAON12KMHR,2025-11-02 04:55,,2025-11-02 04:56,,,
65117_2025-11-02,SAIYEDPURBHT,2025-11-02 05:04,,2025-11-02 05:05,,,
65117_2025-11-02,AUNRIHAR51KM,2025-11-02 05:14,,2025-11-02 05:15,,,
65117_2025-11-02,RAJAWARI62KM,2025-11-02 05:24,,2025-11-02 05:25,,,
65117_2025-11-02,KADIPUR83KMH,2025-11-02 05:31,,2025-11-02 05:32,,,
65117_2025-11-02,SARNATH95KMH,2025-11-02 05:41,,2025-11-02 05:42,,,
65117_2025-11-02,VARANASICITY,2025-11-02 05:54,,2025-11-02 05:55,,,
65117_2025-11-02,VARANASI35KM,2025-11-02 06:15,,2025-11-02 06:20,,,
65117_2025-11-02,LOHTA41KMHR,2025-11-02 06:32,,2025-11-02 06:33,,,
65117_2025-11-02,CHAUKHANDI95,2025-11-02 06:43,,2025-11-02 06:44,,,
