epoch,train_MAE,val_MAE,val_RMSE,val_MAPE
1,0.473261,0.376057,0.376427,0.376057
2,0.275254,0.342649,0.345456,0.342649
3,0.238736,0.308224,0.316937,0.308224
4,0.215834,0.273744,0.292711,0.273744
5,0.199519,0.237841,0.273897,0.237841
6,0.186951,0.216429,0.260112,0.216429
7,0.172756,0.202610,0.248146,0.202610
8,0.158143,0.192257,0.235466,0.192257
9,0.140322,0.181505,0.222297,0.181505
10,0.120966,0.168507,0.206378,0.168507
11,0.103216,0.153073,0.187475,0.153073
12,0.069181,0.136492,0.167168,0.136492
13,0.036796,0.119584,0.146459,0.119584
14,0.004892,0.101478,0.124285,0.101478
15,0.000379,0.083000,0.101654,0.083000
16,0.000251,0.064317,0.078772,0.064317
17,0.000345,0.046443,0.056880,0.046443
18,0.000283,0.029413,0.036024,0.029413
19,0.000203,0.013781,0.016878,0.013781
20,0.000220,0.000319,0.000391,0.000319
21,0.000304,0.000000,0.000000,0.000000
22,0.000232,0.000000,0.000000,0.000000
23,0.000249,0.000000,0.000000,0.000000
24,0.000075,0.000000,0.000000,0.000000
25,0.000207,0.000000,0.000000,0.000000
26,0.000205,0.000000,0.000000,0.000000
27,0.000201,0.000000,0.000000,0.000000
28,0.000132,0.000000,0.000000,0.000000
29,0.000083,0.000000,0.000000,0.000000
30,0.000097,0.000000,0.000000,0.000000
